iter	Logloss
0	0.6785367243
1	0.6652222173
2	0.6516451452
3	0.639667038
4	0.6285768529
5	0.6186636637
6	0.6081255488
7	0.5977427361
8	0.5884240103
9	0.5788677153
10	0.5702758242
11	0.5632281122
12	0.5558121137
13	0.5483107934
14	0.5420685151
15	0.5350706533
16	0.5284707939
17	0.5235524014
18	0.5189440913
19	0.5140198425
20	0.5086237808
21	0.5037231192
22	0.4992536717
23	0.4948613708
24	0.4899377438
25	0.4855359866
26	0.4817827649
27	0.4775818461
28	0.4735062003
29	0.4707094133
30	0.4669083988
31	0.4638898835
32	0.46097102
33	0.4581423179
34	0.4547586833
35	0.4518172458
36	0.4493830031
37	0.4473636768
38	0.4451049956
39	0.44287928
40	0.4403733569
41	0.4381330711
42	0.4363045996
43	0.4340526683
44	0.4319750258
45	0.4297595087
46	0.4278393905
47	0.4262387753
48	0.4246458566
49	0.4231216268
50	0.4213603396
51	0.4198962468
52	0.4186472396
53	0.4173939615
54	0.4161829103
55	0.4149702554
56	0.4136560038
57	0.4122338132
58	0.41108294
59	0.4099966015
60	0.4084790605
61	0.4074900371
62	0.4061424246
63	0.4049862273
64	0.4039825382
65	0.4029691363
66	0.4019027489
67	0.4010523144
68	0.4000345367
69	0.3990941104
70	0.3983127464
71	0.3976050322
72	0.3967662405
73	0.3959683793
74	0.3951066802
75	0.3941679203
76	0.3932357032
77	0.3924220391
78	0.3917142753
79	0.3910110714
80	0.3901991901
81	0.3896973761
82	0.3890322928
83	0.3883643883
84	0.3878837208
85	0.3872395289
86	0.3864954117
87	0.3859026852
88	0.385216111
89	0.3847862856
90	0.3838703605
91	0.383348221
92	0.3826324154
93	0.3820293167
94	0.3815722891
95	0.3809575595
96	0.3804714458
97	0.3799595071
98	0.3794849315
99	0.3789661685
100	0.3785870689
101	0.3780648066
102	0.3775784777
103	0.3770730898
104	0.3763178176
105	0.3758744823
106	0.3755080256
107	0.3750601607
108	0.374467005
109	0.3741582471
110	0.3737084419
111	0.3733230754
112	0.3729129023
113	0.3726228153
114	0.3720870299
115	0.3717460541
116	0.3713473736
117	0.3709464591
118	0.3705498515
119	0.3703266829
120	0.3697571299
121	0.3694953839
122	0.369180464
123	0.3688224431
124	0.3685039898
125	0.3681308581
126	0.3679011878
127	0.3675793083
128	0.3673143449
129	0.3669469232
130	0.3666063905
131	0.3663481905
132	0.3660762606
133	0.3658263057
134	0.3655369308
135	0.3651787665
136	0.3647674947
137	0.3645302355
138	0.3642633655
139	0.3639844126
140	0.3637383797
141	0.3635048794
142	0.3632725878
143	0.3630410971
144	0.362454418
145	0.3622464285
146	0.3618677194
147	0.361598754
148	0.3613416504
149	0.361080393
150	0.3607886149
151	0.3602790458
152	0.3600564539
153	0.3598586842
154	0.3595820244
155	0.3593515196
156	0.3591529317
157	0.3588680292
158	0.3586201521
159	0.358418336
160	0.3581944948
161	0.3579036628
162	0.3577305943
163	0.3574892951
164	0.3572927016
165	0.3570927321
166	0.3568349887
167	0.356692694
168	0.3565280445
169	0.3561236206
170	0.3559596203
171	0.3557685193
172	0.355442074
173	0.3553304778
174	0.35524079
175	0.3550138007
176	0.3549064479
177	0.3546754648
178	0.3544710534
179	0.3543554557
180	0.3542571737
181	0.3540044531
182	0.353861928
183	0.3537101157
184	0.3534361896
185	0.3532605566
186	0.3530574058
187	0.3529135445
188	0.3526810234
189	0.3523980024
190	0.3522402727
191	0.3519854822
192	0.3518800743
193	0.3517021408
194	0.3515651485
