iter	Passed	Remaining
0	2	2724
1	5	2644
2	7	2470
3	9	2380
4	11	2314
5	14	2356
6	16	2369
7	18	2332
8	20	2303
9	23	2280
10	25	2258
11	27	2242
12	29	2261
13	32	2259
14	34	2250
15	36	2241
16	38	2230
17	40	2219
18	42	2211
19	45	2219
20	47	2220
21	49	2213
22	51	2205
23	54	2198
24	56	2192
25	58	2186
26	60	2192
27	63	2198
28	65	2193
29	67	2186
30	69	2180
31	71	2176
32	74	2180
33	76	2182
34	79	2195
35	81	2190
36	83	2185
37	86	2181
38	88	2176
39	90	2172
40	92	2172
41	95	2168
42	98	2183
43	100	2185
44	102	2180
45	104	2175
46	107	2171
47	109	2167
48	111	2163
49	114	2167
50	116	2164
51	118	2159
52	120	2155
53	122	2150
54	124	2146
55	127	2142
56	129	2143
57	131	2140
58	134	2137
59	136	2133
60	138	2129
61	140	2125
62	142	2122
63	145	2122
64	147	2120
65	149	2116
66	151	2113
67	154	2111
68	156	2110
69	158	2107
70	161	2106
71	163	2108
72	166	2108
73	168	2107
74	171	2112
75	173	2115
76	176	2117
77	179	2118
78	182	2125
79	184	2126
80	187	2127
81	189	2126
82	192	2125
83	194	2126
84	197	2128
85	200	2130
86	203	2138
87	206	2139
88	209	2139
89	212	2144
90	214	2144
91	217	2142
92	219	2140
93	221	2138
94	224	2136
95	227	2142
96	230	2145
97	232	2144
98	235	2141
99	237	2140
100	240	2139
101	243	2141
102	245	2139
103	248	2140
104	251	2140
105	253	2140
106	256	2137
107	259	2141
108	261	2139
109	264	2137
110	266	2134
111	268	2129
112	270	2126
113	273	2125
114	276	2125
115	278	2123
116	280	2119
117	283	2115
118	285	2112
119	287	2108
120	290	2107
121	292	2104
122	294	2100
123	296	2097
124	299	2093
125	301	2089
126	303	2087
127	306	2090
128	309	2089
129	311	2085
130	313	2081
131	316	2078
132	318	2074
133	320	2071
134	323	2070
135	325	2067
136	327	2064
137	329	2061
138	332	2057
139	334	2054
140	336	2051
141	339	2051
142	341	2048
143	343	2044
144	346	2040
145	348	2038
146	350	2036
147	353	2035
148	356	2034
149	358	2031
150	360	2027
151	362	2024
152	365	2021
153	367	2021
154	370	2019
155	373	2018
156	375	2017
157	379	2020
158	381	2017
159	383	2013
160	386	2012
161	388	2011
162	390	2007
163	393	2004
164	395	2000
165	397	1997
166	399	1993
167	402	1993
168	404	1989
169	407	1987
170	409	1983
171	411	1980
172	413	1977
173	415	1973
